STREET,ADDRESS,SIDE,FROM,TO,METER,MECH ID,MODEL,DOOR,VAULT,ISSUES,SPACES,TIME
Bridge ,191E,S,Main,E. Columbus,321,417,APM-2X,Square,Extended,,2,
Bridge ,181E,S,Main,E. Columbus,322,418,APM-2X,Square,Extended,,2,
Bridge ,171E,S,Main,E. Columbus,323,419,APM-2X,Square,Extended,,2,
Bridge ,161E,S,Main,E. Columbus,324,420,APM-2X,Square,Extended,,2,
Bridge ,151E,S,Main,E. Columbus,325,421,APM-2X,Square,Extended,,2,
Bridge ,141E,S,Main,E. Columbus,326,422,APM-2X,Square,Extended,,2,
Bridge ,235E,S,Barnes,Main,327,423,POM,Square,Extended,,1,
Bridge ,241E,S,Barnes,Main,329,424,POM,Square,Extended,,1,
Bridge ,243E,S,Barnes,Main,330,425,POM,Square,Extended,,1,
Bridge ,249E,S,Barnes,Main,331,426,POM,Square,Extended,,1,
Bridge ,251E,S,Barnes,Main,332,427,POM,Square,Extended,,1,
Bridge ,253E,S,Barnes,Main,333,428,POM,Square,Extended,,1,
Bridge ,255E,S,Barnes,Main,334,429,POM,Square,Extended,,1,
Bridge ,267E,S,Barnes,Main,335,430,POM,Square,Extended,,1,
Bridge ,271E,S,Barnes,Main,336,431,POM,Square,Extended,,1,
Bridge ,277E,S,Barnes,Main,337,432,POM,Square,Extended,,1,
Bridge ,289,S,Dwight,Barnes,338,433,POM,Square,Extended,,1,
Bridge ,293,S,Dwight,Barnes,339,434,POM,Square,Extended,,1,
Bridge ,301,S,Dwight,Barnes,340,435,POM,Square,Extended,,1,
Bridge ,303,S,Dwight,Barnes,341,436,POM,Square,Extended,,1,
Bridge ,315,S,Dwight,Barnes,342,437,POM,Square,Extended,,1,
Bridge ,333,S,Dwight,Barnes,343,438,POM,Square,Extended,,1,
Bridge ,333,S,Dwight,Barnes,344,439,POM,Square,Extended,,1,
Bridge ,333,S,Dwight,Barnes,345,440,POM,Square,Extended,,1,
Bridge ,351,S,Dwight,Barnes,346,441,POM,Square,Extended,,1,
Bridge ,351,S,Dwight,Barnes,347,442,POM,Square,Extended,,1,
Bridge ,359E,S,Dwight,Barnes,348,443,POM,Square,Extended,,1,
Bridge ,361E,S,Dwight,Barnes,349,444,POM,Square,Extended,,1,
Bridge ,401E,S,Chestnut,Dwight,350,445,POM,Square,Extended,,1,
Bridge ,401E,S,Chestnut,Dwight,351,446,POM,Square,Extended,,1,
Bridge ,403E,S,Chestnut,Dwight,352,447,POM,Square,Extended,,1,
Bridge ,407E,S,Chestnut,Dwight,353,448,POM,Square,Extended,,1,
Bridge ,407E,S,Chestnut,Dwight,354,449,POM,Square,Extended,,1,
Bridge ,467E,S,Pearl,Chestnut,355,450,POM,Square,Extended,,1,
Bridge ,469E,S,Pearl,Chestnut,356,451,POM,Square,Extended,,1,
Bridge ,471E,S,Pearl,Chestnut,357,452,POM,Square,Extended,,1,
Chestnut,158,SW,Bridge,Winter,365,177,POM,Square,Extended,,1,
Chestnut,162,SW,Bridge,Winter,366,178,POM,Square,Extended,,1,
Chestnut,162,SW,Bridge,Winter,367,179,POM,Square,Extended,,1,
Chestnut,166E,SW,Bridge,Winter,368,180,POM,Square,Extended,,1,
Chestnut,170E,SW,Worthington,Taylor,369,181,Duncan,Round,Dual-Head,,1,
Chestnut,170E,SW,Worthington,Taylor,370,182,Duncan,Round,Dual-Head,,1,
Chestnut,174E,SW,Worthington,Taylor,371,183,Duncan,Round,Dual-Head,,1,
Chestnut,174E,SW,Worthington,Taylor,372,184,Duncan,Round,Dual-Head,,1,
Chestnut,182E,SW,Worthington,Taylor,373,185,Duncan,Round,Dual-Head,,1,
Chestnut,182E,SW,Worthington,Taylor,374,186,Duncan,Round,Dual-Head,,1,
Chestnut,190E,SW,Worthington,Taylor,375,187,Duncan,Round,Dual-Head,,1,
Chestnut,190E,SW,Worthington,Taylor,376,188,Duncan,Round,Dual-Head,,1,
Chestnut,192E,SW,Taylor,Lyman,377,189,Duncan,Round,Single,,1,
Chestnut,196,SW,Worthington,Taylor,378,190,Duncan,Round,Dual-Head,,1,
Chestnut,196,SW,Worthington,Taylor,379,191,Duncan,Round,Dual-Head,,1,
Chestnut,198,SW,Taylor,Lyman,380,192,Duncan,Round,Dual-Head,,1,
Chestnut,198,SW,Taylor,Lyman,381,193,Duncan,Round,Dual-Head,,1,
Chestnut,224E,SW,Lyman,F B Murray,382,194,POM,Square,Extended,,1,
Chestnut,228E,SW,Lyman,F B Murray,383,195,POM,Square,Extended,,1,
Chestnut,232,SW,Lyman,F B Murray,384,196,POM,Square,Extended,,1,
Chestnut,236E,SW,Lyman,F B Murray,385,197,POM,Square,Extended,,1,
Chestnut,236E,SW,Lyman,F B Murray,386,198,POM,Square,Extended,,1,
Chestnut,238,SW,Lyman,F B Murray,387,199,POM,Square,Extended,,1,
Chestnut,238,SW,Lyman,F B Murray,388,200,POM,Square,Extended,,1,
Chestnut,145E,E,Winter,Bridge,393,201,POM,Square,Extended,,1,2
Chestnut,145E,E,Winter,Bridge,394,202,POM,Square,Extended,,1,2
Chestnut,145E,NE,Worthington,Winter,395,203,POM,Square,Extended,,1,
Chestnut,155,NE,Worthington,Winter,396,204,POM,Square,Extended,,1,
Chestnut,155,NE,Worthington,Winter,397,205,POM,Square,Extended,,1,
Chestnut,161E,NE,Worthington,Winter,398,206,POM,Square,Extended,,1,
Chestnut,175E,NE,Taylor,Worthington,399,207,POM,Square,Extended,,1,
Chestnut,181,E,Taylor,Worthington,400,208,Duncan,Round,Dual-Head,,1,2
Chestnut,181,E,Taylor,Worthington,401,209,Duncan,Round,Dual-Head,,1,2
Chestnut,181,E,Taylor,Worthington,402,210,Duncan,Round,Dual-Head,,1,2
Chestnut,181,E,Taylor,Worthington,403,211,Duncan,Round,Dual-Head,,1,2
Chestnut,191,E,Lyman,Taylor,404,212,Duncan,Round,Dual-Head,,1,2
Chestnut,191,E,Lyman,Taylor,405,213,Duncan,Round,Dual-Head,,1,2
Chestnut,193E,NE,Lyman,Taylor,406,214,Duncan,Round,Single,,1,
Chestnut,199E,E,Lyman,Taylor,407,215,Duncan,Round,Dual-Head,,1,2
Chestnut,199E,E,Lyman,Taylor,408,216,Duncan,Round,Dual-Head,,1,2
Fort,4E,SE,E. Columbus,Main,420,159,POM,Square,Extended,,1,
Fort,4E,SE,E. Columbus,Main,421,160,POM,Square,Extended,,1,
Fort,8,SE,E. Columbus,Main,422,161,POM,Square,Extended,,1,
Fort,8,SE,E. Columbus,Main,423,162,POM,Square,Extended,,1,
Fort,14E,SE,E. Columbus,Main,424,163,POM,Square,Extended,,1,
Fort,14E,SE,E. Columbus,Main,425,164,POM,Square,Extended,,1,
